base_sample,alpha,file,true_cbs_abs_loss_to_gt,true_cbs_mse_loss_to_gt,cbs_reported_abs_loss,neural_loss_to_gt_mse_only,forward_rrmse_neural_vs_true_cbs,forward_mae_neural_vs_true_cbs,grad_cos_raw,grad_cos_smooth,grad_nn_rms,grad_cbs_raw_eff_rms,grad_cbs_smooth_eff_rms,grad_rms_ratio_nn_over_cbs_raw,grad_rms_ratio_nn_over_cbs_smooth,nn_descent_success_l2,nn_best_true_cbs_mse_loss,nn_best_true_cbs_abs_loss_at_l2_best,nn_best_true_cbs_l2_rel_reduction,nn_best_factor_l2,cbs_descent_success_l2,cbs_best_true_cbs_mse_loss,cbs_best_true_cbs_abs_loss_at_l2_best,cbs_best_true_cbs_l2_rel_reduction,cbs_best_factor_l2
test_1,0.0,self_consistent_cbs/sparse_64_local_alpha_train100_test20/test/test_000001.npz,0.00684650894254446,9.643167140893638e-05,0.00684650894254446,0.0002791645238175988,0.16089670360088348,0.012384121306240559,0.0146707606160573,0.016368216989329297,2.678131748510572e-09,29.27274427293613,27.353831958733217,9.148891964278922e-11,9.790700449395459e-11,1,9.636807953938842e-05,0.006852665916085243,0.0006594500397933582,0.25,1,6.41750157228671e-05,0.005792364943772554,0.3345027127993971,1.0
test_1,0.25,self_consistent_cbs/sparse_64_local_alpha_train100_test20/test/test_000002.npz,0.005241627339273691,5.6183242122642696e-05,0.005241627339273691,0.0002826118725351989,0.15971316397190094,0.012273382395505905,0.018170835182317813,0.02021466217863605,2.8287054576033785e-09,22.841515291215423,21.40546223895567,1.2384053428763833e-10,1.3214876773160426e-10,1,5.61279957764782e-05,0.005249598063528538,0.000983324280999968,0.25,1,3.349412145325914e-05,0.0042853751219809055,0.4038414269481877,1.0
test_1,0.5,self_consistent_cbs/sparse_64_local_alpha_train100_test20/test/test_000003.npz,0.003595256945118308,2.5852226826827973e-05,0.003595256945118308,0.00028801854932680726,0.1601296067237854,0.012315301224589348,0.01795356636227852,0.020130791926481643,3.0595583583361165e-09,15.523683454452907,14.556557926640702,1.970897156794636e-10,2.1018419146580403e-10,1,2.5827659555943683e-05,0.0035975624341517687,0.0009502961214465211,0.1,1,1.372734914184548e-05,0.002873759251087904,0.46900709042209004,1.0
test_1,0.75,self_consistent_cbs/sparse_64_local_alpha_train100_test20/test/test_000004.npz,0.0019375348929315805,7.0013866206863895e-06,0.0019375348929315805,0.00029378756880760193,0.16204610466957092,0.012486636638641357,0.013015747134288288,0.015167874087323143,3.4122781610522145e-09,7.69899749836448,7.178334499329547,4.432107117552765e-10,4.753579206110999e-10,0,7.0013866206863895e-06,0.0019375348929315805,0.0,0.0,1,3.970477337134071e-06,0.001566380145959556,0.43290128766738145,0.5
test_1,1.0,self_consistent_cbs/sparse_64_local_alpha_train100_test20/test/test_000005.npz,0.0005409209989011288,4.129634874061594e-07,0.0005409209989011288,0.0002966444008052349,0.16473640501499176,0.012721375562250614,-0.06735429762366431,-0.09254087321991968,3.990428319185615e-09,0.9458812430065109,0.6603339595673414,4.2187413575322875e-09,6.043045736736288e-09,0,4.129634874061594e-07,0.0005409209989011288,0.0,0.0,1,3.2873998634386226e-07,0.00048593158135190606,0.2039490260780835,0.1
test_2,0.0,self_consistent_cbs/sparse_64_local_alpha_train100_test20/test/test_000006.npz,0.0038709125947207212,3.821972495643422e-05,0.003870912827551365,8.773001900408417e-05,0.08479142934083939,0.006264418363571167,-0.04209575914114518,-0.045194467373588856,9.62874623692432e-10,15.639685201212453,14.299520607388782,6.156611282801178e-11,6.733614714292589e-11,0,3.821972495643422e-05,0.0038709125947207212,0.0,0.0,1,2.4467637558700517e-05,0.0035149974282830954,0.3598164930126888,1.0
test_2,0.25,self_consistent_cbs/sparse_64_local_alpha_train100_test20/test/test_000007.npz,0.0029734389390796423,2.208444675488863e-05,0.0029734389390796423,8.976423123385757e-05,0.08414295315742493,0.006218475289642811,-0.029643945598467666,-0.031802367112743965,1.0944380563715268e-09,11.895151089053128,10.884284258771363,9.200707483057667e-11,1.0055213832637158e-10,0,2.208444675488863e-05,0.0029734389390796423,0.0,0.0,1,1.3738505003857426e-05,0.002773173153400421,0.3779103838851538,1.0
test_2,0.5,self_consistent_cbs/sparse_64_local_alpha_train100_test20/test/test_000008.npz,0.002066444605588913,1.0206016668234952e-05,0.0020664448384195566,9.121741459239274e-05,0.08540551364421844,0.006299153435975313,-0.019199342816071652,-0.02064388507532433,1.2779656708518523e-09,7.938442548105109,7.245077429958022,1.609844327911525e-10,1.7639089205141273e-10,0,1.0206016668234952e-05,0.002066444605588913,0.0,0.0,1,6.707475222356152e-06,0.001850358210504055,0.34279205684305836,0.5
test_2,0.75,self_consistent_cbs/sparse_64_local_alpha_train100_test20/test/test_000009.npz,0.0011709320824593306,2.8857796223746845e-06,0.0011709320824593306,9.250257426174358e-05,0.08818741142749786,0.006491886451840401,-0.016452676757147757,-0.01810380672638282,1.5537338475091852e-09,3.896801725309515,3.5008770094626387,3.9872027294018284e-10,4.438127484369047e-10,0,2.8857796223746845e-06,0.0011709320824593306,0.0,0.0,1,2.003629788305261e-06,0.0010398454032838345,0.3056885658314776,0.25
test_2,1.0,self_consistent_cbs/sparse_64_local_alpha_train100_test20/test/test_000010.npz,0.0004229033656883985,2.588495249256084e-07,0.00042290339479222894,9.463982132729143e-05,0.09244488924741745,0.006788949947804213,-0.033410811713205195,-0.0522647120484434,1.9831525145464518e-09,0.6945029325886126,0.46180557744910816,2.8554991224510322e-09,4.294345091068111e-09,0,2.588495249256084e-07,0.0004229033656883985,0.0,0.0,1,2.0290784163989883e-07,0.000376290874555707,0.21611661563522158,0.1
test_3,0.0,self_consistent_cbs/sparse_64_local_alpha_train100_test20/test/test_000011.npz,0.009044582024216652,0.0002323281514691189,0.009044582024216652,0.0002502868592273444,0.14362338185310364,0.0101123983040452,0.0008755667356057695,0.0024271939683425084,9.662521666315191e-10,34.14293627208788,30.174528850739886,2.830020707449927e-11,3.2022112802859106e-11,0,0.0002323281514691189,0.009044582024216652,0.0,0.0,1,0.0001902221265481785,0.008467158302664757,0.18123513941244068,1.0
