base_sample,num_updates,num_iters_run,init_true_cbs_mse,final_true_cbs_mse,true_cbs_mse_rel_reduction,init_mse_240,final_mse_240,mse240_rel_reduction,init_mae_240,final_mae_240,init_psnr_240,final_psnr_240,init_ssim_240,final_ssim_240,init_mse_480,final_mse_480,mse480_rel_reduction,cbs_forward_calls_algorithm,cbs_forward_calls_diagnostic,cbs_adjoint_calls,neural_grad_calls,neural_forward_calls,runtime_sec
train_1,2,3,3.743313209270127e-05,3.072123945457861e-05,0.17930352772781602,26.545963287353516,26.047273635864258,0.018785893964030055,1.6309891939163208,1.7831398248672485,31.995092326757337,32.077454496338966,0.913853163235253,0.9138663051083389,28.21246337890625,27.72260284423828,0.017363267010360575,21,0,0,3,0,24.080610990524292
train_2,4,5,5.673290434060618e-05,3.246239430154674e-05,0.4278030592854382,27.63800048828125,26.49615478515625,0.04131433833678208,1.5232081413269043,1.8454009294509888,31.820011019446866,32.00324869939115,0.9098793203616502,0.9098929066800123,29.190858840942383,28.058502197265625,0.03879148091691438,29,0,0,5,0,32.59354591369629
train_3,2,3,7.927940896479413e-05,4.287013871362433e-05,0.45925254396558607,32.50350570678711,30.948062896728516,0.04785461679396014,1.8169318437576294,2.2275657653808594,31.11577517224812,31.328742512946036,0.8973128027167347,0.897379389093207,34.36531448364258,32.82100296020508,0.044938087913398005,17,0,0,3,0,19.202749013900757
train_4,3,4,3.6701123462989926e-05,2.5386903871549293e-05,0.30827992507777296,20.522380828857422,19.79805564880371,0.035294403027313744,1.2054636478424072,1.4521855115890503,33.112799796650776,33.26885181469098,0.9348885404677649,0.9348516636952099,21.8200626373291,21.100547790527344,0.03297492123468214,21,0,0,4,0,23.639289379119873
train_5,5,6,0.00012797044473700225,6.498900620499626e-05,0.4921561276233895,45.61140441894531,42.98662185668945,0.05754662886823148,2.3878376483917236,2.8972280025482178,29.64434277320507,29.90174405085778,0.875552592150525,0.8755231170748585,47.725746154785156,45.12242126464844,0.05454759956384045,29,0,0,6,0,32.65214705467224
train_6,3,4,2.417619361949619e-05,2.0016503185615875e-05,0.17205729319299673,17.42461395263672,17.144033432006836,0.01610253870717319,1.1814308166503906,1.313764214515686,33.82344557154744,33.89394717173725,0.9290990847789538,0.9290988489811473,18.84181022644043,18.564584732055664,0.0147133152840983,25,0,0,4,0,28.08250331878662
train_7,2,3,4.8864159907680005e-05,3.6947065382264555e-05,0.24388211212329536,30.377168655395508,29.71666717529297,0.021743352304995765,1.726285696029663,1.9608862400054932,31.409604296960275,31.5050762188646,0.903269517230198,0.9032963065985852,32.09429168701172,31.44329833984375,0.020283773622940558,17,0,0,3,0,19.212121725082397
train_8,6,7,0.00034205440897494555,0.00022296937822829932,0.3481464574700712,182.58963012695312,174.2150421142578,0.045865627784406636,4.075061321258545,4.995794773101807,23.620316132425057,23.824220718693336,0.8607118030217539,0.8605865563961209,186.70220947265625,178.34251403808594,0.044775557065888094,37,0,0,7,0,41.51698589324951
train_9,4,5,0.0001332610409008339,6.234650209080428e-05,0.5321475678912085,46.38230514526367,43.496639251708984,0.062214801194488654,2.3624584674835205,2.8887484073638916,29.57155393355228,29.850520194286382,0.8740323198978861,0.8738863689098515,48.94208908081055,46.0794563293457,0.05849020352887304,29,0,0,5,0,32.60803031921387
train_10,2,3,3.6273355362936854e-05,2.491728082532063e-05,0.31306931558968915,20.768545150756836,20.20714569091797,0.027031236697790985,1.2832813262939453,1.5206032991409302,33.061016471039736,33.18002749428884,0.9293058244465201,0.9293599156319333,22.300067901611328,21.743776321411133,0.02494573481365945,17,0,0,3,0,19.184136629104614
