sample,init_iter,final_iter,init_image_mse_256,final_image_mse_256,init_image_mae_256,final_image_mae_256,init_image_rmse_256,final_image_rmse_256,init_image_mse_480,final_image_mse_480,init_image_mae_480,final_image_mae_480,init_image_rmse_480,final_image_rmse_480,init_dobs_abs_loss,final_dobs_abs_loss,init_dobs_rel_l1,final_dobs_rel_l1,init_dobs_rel_l2,final_dobs_rel_l2,init_image_psnr_256,final_image_psnr_256,init_image_ssim_256,final_image_ssim_256,init_image_psnr_480,final_image_psnr_480,init_image_ssim_480,final_image_ssim_480,image_mse_256_improve_ratio,image_mse_256_improved,image_mae_256_improve_ratio,image_mae_256_improved,image_rmse_256_improve_ratio,image_rmse_256_improved,image_mse_480_improve_ratio,image_mse_480_improved,image_mae_480_improve_ratio,image_mae_480_improved,image_rmse_480_improve_ratio,image_rmse_480_improved,dobs_abs_loss_improve_ratio,dobs_abs_loss_improved,dobs_rel_l1_improve_ratio,dobs_rel_l1_improved,dobs_rel_l2_improve_ratio,dobs_rel_l2_improved,image_psnr_256_delta,image_psnr_256_improved,image_ssim_256_delta,image_ssim_256_improved,image_psnr_480_delta,image_psnr_480_improved,image_ssim_480_delta,image_ssim_480_improved,init_mse_256,final_mse_256,mse256_improve_ratio,init_mse_480,final_mse_480,mse480_improve_ratio,dobs_loss_improve_ratio,best_mse_256,best_mse_256_iter,best_dobs_abs_loss,best_dobs_iter,runtime_seconds,initial_forward_evals,adjoint_step_forward_evals,candidate_selection_forward_evals,post_update_eval_forward_evals,total_forward_like_evals_excluding_adjoint_solve
test_1,0,8,53.711753845214844,45.46705627441406,2.5710866451263428,2.808199644088745,7.328830319035558,6.742926388031687,48.023372650146484,40.5908317565918,2.4542646408081055,2.6819963455200195,6.929889800721688,6.37109345062461,0.0068743061274290085,0.005547831766307354,0.15223252773284912,0.12285756319761276,0.09443479776382446,0.06463325023651123,28.934383885246298,29.65810885020172,0.8751691579818726,0.8790686130523682,29.420550651011723,30.150797714693383,0.9154216647148132,0.9175164699554443,0.1534989453995486,True,-0.09222287370663793,False,0.0799450806606876,True,0.15476924013024024,True,-0.09279019911921031,False,0.08063567620350962,True,0.19296120020549548,True,0.19296115601912056,True,0.3155780309026495,True,0.7237249649554229,True,0.0038994550704956055,True,0.7302470636816594,True,0.0020948052406311035,True,53.711753845214844,45.46705627441406,0.1534989453995486,48.023372650146484,40.5908317565918,0.15476924013024024,0.19296120020549548,45.46705627441406,2,0.005547831766307354,2,39.76002660099948,1,8,16,0,25
test_2,0,8,28.386564254760742,28.381072998046875,1.5632814168930054,1.5760116577148438,5.32790430232758,5.327388947509546,25.109024047851562,25.109024047851562,1.4762279987335205,1.4762279987335205,5.010890544389446,5.010890544389446,0.0038528013974428177,0.0038528013974428177,0.08478619903326035,0.08478619903326035,0.059301093220710754,0.059301093220710754,31.703948908922413,31.704789113874526,0.9252148270606995,0.9249043464660645,32.23677889481016,32.23677889481016,0.949297308921814,0.949297308921814,0.0001934456267614722,True,-0.008143281615367351,False,9.672749148448978e-05,True,0.0,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0,False,0.0008402049521123445,True,-0.00031048059463500977,False,0.0,False,0.0,False,28.386564254760742,28.381072998046875,0.0001934456267614722,25.109024047851562,25.109024047851562,0.0,0.0,28.381072998046875,1,0.0038528013974428177,0,39.606627805000244,1,8,16,0,25
test_3,0,8,175.8738250732422,148.9200439453125,3.6124625205993652,4.043574333190918,13.261742912349122,12.20328004863088,163.69229125976562,138.48757934570312,3.4948673248291016,3.906989097595215,12.794228826301554,11.768074581073282,0.009049007669091225,0.006742619443684816,0.20379170775413513,0.15184979140758514,0.14658522605895996,0.10022680461406708,23.78306512967424,24.505545664077278,0.8917426466941833,0.887791097164154,24.09479494392757,24.820968979060854,0.9139794707298279,0.9120810031890869,0.15325635362001538,True,-0.11934014820447329,False,0.07981325461621933,True,0.15397616906751357,True,-0.11792200803678521,False,0.08020446243064602,True,0.2548774749113631,True,0.2548774771982407,True,0.3162557557194079,True,0.7224805344030365,True,-0.003951549530029297,False,0.7261740351332833,True,-0.0018984675407409668,False,175.8738250732422,148.9200439453125,0.15325635362001538,163.69229125976562,138.48757934570312,0.15397616906751357,0.2548774749113631,148.9200439453125,3,0.006742619443684816,3,39.51440984000055,1,8,16,0,25
test_4,0,8,279.04229736328125,202.7470245361328,5.5956830978393555,6.1806488037109375,16.70455917895714,14.238926382846875,262.35888671875,190.0651092529297,5.4424920082092285,6.035823345184326,16.197496310194055,13.786410310625811,0.01158791035413742,0.008487265557050705,0.2617424726486206,0.19170650839805603,0.17118194699287415,0.10569952428340912,21.778376832853226,23.165532327771228,0.8476586937904358,0.8256425261497498,22.04611942742197,23.446053224983636,0.875629186630249,0.8607276082038879,0.27341830807757583,True,-0.10453874811054767,False,0.1476023862524965,True,0.27555299677467876,True,-0.10901832029886903,False,0.14885547453717607,True,0.26757583568223464,True,0.26757584866372697,True,0.3825311246857611,True,1.3871554949180016,True,-0.022016167640686035,False,1.3999337975616655,True,-0.014901578426361084,False,279.04229736328125,202.7470245361328,0.27341830807757583,262.35888671875,190.0651092529297,0.27555299677467876,0.26757583568223464,202.7470245361328,8,0.008487265557050705,8,39.44316261700078,1,8,16,0,25
test_5,0,8,125.69015502929688,97.39005279541016,2.820659637451172,3.4331653118133545,11.211162073099151,9.868639865524031,115.09745788574219,88.03094482421875,2.718700408935547,3.301715850830078,10.728348329810242,9.38248073934707,0.008617967367172241,0.004937462043017149,0.19188851118087769,0.10993801802396774,0.14412975311279297,0.07222988456487656,25.242064602083293,26.349931208455693,0.9049167633056641,0.8985229730606079,25.624419904746496,26.788723590063093,0.9267612099647522,0.9232868552207947,0.22515766829383,True,-0.217149799369428,False,0.119748711045427,True,0.23516169304444817,True,-0.21444637297221908,False,0.12544965441915806,True,0.42707348112594207,True,0.4270734743427907,True,0.4988551426376912,True,1.1078666063724008,True,-0.006393790245056152,False,1.1643036853165967,True,-0.0034743547439575195,False,125.69015502929688,97.39005279541016,0.22515766829383,115.09745788574219,88.03094482421875,0.23516169304444817,0.42707348112594207,97.39005279541016,4,0.004937462043017149,4,39.637658829999964,1,8,16,0,25
test_6,0,8,71.6466293334961,57.37059783935547,1.914595365524292,2.4612135887145996,8.464433196233289,7.574338112294399,64.8623275756836,50.88935852050781,1.8384569883346558,2.3466858863830566,8.053715141205554,7.133677769601583,0.008668097667396069,0.004658777266740799,0.1931835114955902,0.10382889211177826,0.137950599193573,0.06419143080711365,27.68311958589543,28.64818346571401,0.9161964654922485,0.9151496887207031,28.115151928973077,29.168807456488956,0.9426035284996033,0.9418206214904785,0.19925614961855748,True,-0.2855006509640936,False,0.10515708061053412,True,0.2154250329495411,True,-0.27644318103329546,False,0.11423763511284774,True,0.46253752023045075,True,0.46253750483973943,True,0.5346781298312842,True,0.9650638798185796,True,-0.0010467767715454102,False,1.053655527515879,True,-0.0007829070091247559,False,71.6466293334961,57.37059783935547,0.19925614961855748,64.8623275756836,50.88935852050781,0.2154250329495411,0.46253752023045075,57.37059783935547,3,0.004658777266740799,3,39.67344007400061,1,8,16,0,25
test_7,0,8,83.28988647460938,66.70286560058594,2.312087059020996,2.8513991832733154,9.12632929904512,8.167182231381025,76.40373229980469,60.046749114990234,2.2255923748016357,2.7385456562042236,8.740922851724793,7.748983747240036,0.009230276569724083,0.0052054766565561295,0.20786698162555695,0.11722798645496368,0.1365744024515152,0.07113955914974213,27.029154519763257,27.99363230207121,0.903594434261322,0.9033799171447754,27.403931478601816,28.450182221067777,0.9359890818595886,0.935566246509552,0.19914807878961072,True,-0.2332577063427907,False,0.10509669728489243,True,0.21408617998699592,True,-0.23047943873732776,False,0.11348219419290612,True,0.43604326287833234,True,0.43604325449546666,True,0.4791149888027059,True,0.9644777823079522,True,-0.00021451711654663086,False,1.0462507424659613,True,-0.0004228353500366211,False,83.28988647460938,66.70286560058594,0.19914807878961072,76.40373229980469,60.046749114990234,0.21408617998699592,0.43604326287833234,66.70286560058594,3,0.0052054766565561295,3,68.8475216300003,1,8,16,0,25
test_8,0,8,63.59306716918945,54.4623908996582,1.8261064291000366,2.2070555686950684,7.97452614073021,7.379863880835351,57.50374221801758,48.74471664428711,1.7472949028015137,2.1076979637145996,7.583122194585656,6.981741662671794,0.006997683551162481,0.004982948303222656,0.15615957975387573,0.11119895428419113,0.10956566035747528,0.06711021810770035,28.200979500838592,28.874110191557428,0.9187357425689697,0.9194537401199341,28.638116135653398,29.355801719554705,0.9465979933738708,0.9467177987098694,0.1435797434528347,True,-0.20861278046239998,False,0.07457023143450785,True,0.15232096618202112,True,-0.2062634420411974,False,0.07930513533636159,True,0.2879145981554446,True,0.2879146161910749,True,0.38748858091914795,True,0.6731306907188355,True,0.0007179975509643555,True,0.7176855839013072,True,0.00011980533599853516,True,63.59306716918945,54.4623908996582,0.1435797434528347,57.50374221801758,48.74471664428711,0.15232096618202112,0.2879145981554446,54.4623908996582,2,0.004982948303222656,2,39.84401478899963,1,8,16,0,25
test_9,0,8,80.4238510131836,64.41134643554688,2.1732399463653564,2.6870675086975098,8.967934601299431,8.02566797441477,73.78215026855469,58.009368896484375,2.089841604232788,2.5736474990844727,8.589653675705133,7.616388179214894,0.009782316163182259,0.005430672783404589,0.2200077474117279,0.12213774770498276,0.14400047063827515,0.07256469875574112,27.181228571032285,28.1454534449858,0.913264811038971,0.9131830930709839,27.55556414184129,28.600095814545522,0.9415132403373718,0.9411824345588684,0.19910144038006397,True,-0.236433884436585,False,0.105070639871529,True,0.2137750297959576,True,-0.23150361916020204,False,0.11330672146222812,True,0.4448479589845111,True,0.44484796948147454,True,0.49608012783154337,True,0.9642248739535155,True,-8.171796798706055e-05,False,1.044531672704231,True,-0.00033080577850341797,False,80.4238510131836,64.41134643554688,0.19910144038006397,73.78215026855469,58.009368896484375,0.2137750297959576,0.4448479589845111,64.41134643554688,3,0.005430672783404589,3,39.856406378999964,1,8,16,0,25
test_10,0,8,197.83352661132812,174.69166564941406,4.3225884437561035,4.552772045135498,14.065330661286572,13.217097474461406,186.7687225341797,166.44883728027344,4.2055134773254395,4.4444780349731445,13.666335373251298,12.901505233121965,0.009442828595638275,0.008599630557000637,0.21164211630821228,0.19274352490901947,0.14015063643455505,0.11838334798812866,23.27207829246413,23.812355363547432,0.8712047934532166,0.8720799684524536,23.52203573815669,24.02226956349822,0.9010358452796936,0.9016570448875427,0.11697643649339273,True,-0.053251334096318395,False,0.06030666517921139,True,0.10879704576973531,True,-0.05682173150462031,False,0.05596453762039651,True,0.0892950697990879,True,0.08929504074501735,True,0.15531351836875576,True,0.5402770710833025,True,0.0008751749992370605,True,0.5002338253415317,True,0.0006211996078491211,True,197.83352661132812,174.69166564941406,0.11697643649339273,186.7687225341797,166.44883728027344,0.10879704576973531,0.0892950697990879,174.69166564941406,2,0.008599630557000637,2,39.60261009700025,1,8,16,0,25
