alpha,n,true_cbs_abs_loss_to_gt_mean,true_cbs_abs_loss_to_gt_std,forward_rrmse_neural_vs_true_cbs_mean,forward_rrmse_neural_vs_true_cbs_std,forward_mae_neural_vs_true_cbs_mean,forward_mae_neural_vs_true_cbs_std,grad_cos_raw_mean,grad_cos_raw_std,grad_cos_smooth_mean,grad_cos_smooth_std,grad_rms_ratio_nn_over_cbs_raw_mean,grad_rms_ratio_nn_over_cbs_raw_std,grad_rms_ratio_nn_over_cbs_smooth_mean,grad_rms_ratio_nn_over_cbs_smooth_std,nn_descent_success_rate,cbs_descent_success_rate,nn_best_true_cbs_rel_reduction_mean,cbs_best_true_cbs_rel_reduction_mean
0.0,3,0.006587334520493944,0.0021200774163866597,0.12977050493160883,0.03257739340709234,0.009586979324618975,0.0025258318569776933,-0.008849862739559353,0.024173728511972213,-0.008799744870775209,0.02635693233568168,6.045175607870613e-11,2.5808717276454794e-11,6.575509854604883e-11,2.6920620326748367e-11,0.0,1.0,0.0,0.10325205716470148
0.25,3,0.005150015388304989,0.0017409724052832548,0.1292982945839564,0.03256455463205722,0.009545543231070042,0.0025079581815411482,-0.016831215749822936,0.025044484753178824,-0.017738465685291614,0.02713504531639683,8.399122127665436e-11,3.625509811451429e-11,9.086730631055146e-11,3.827757733963966e-11,0.0,1.0,0.0,0.1201613578636372
0.5,3,0.0035894420774032674,0.0012411551294420628,0.13099180658658346,0.03264799338716008,0.009667068564643463,0.0025082484852251,-0.023066278310830583,0.0351776178928761,-0.024452781996754994,0.038052694267900665,1.364231603487912e-10,6.204154617808987e-11,1.4745605799544574e-10,6.626747014549757e-11,0.0,1.0,0.0,0.13534074061755388
0.75,3,0.001962339815994104,0.0006565426073242569,0.13433354099591574,0.03284939274480916,0.009913870754341284,0.002519938675430567,-0.03399901645268928,0.04721018705439176,-0.036484697539196566,0.05135023092744648,3.1124635217121217e-10,1.562256369937637e-10,3.3973990422756887e-10,1.6997549412383632e-10,0.0,1.0,0.0,0.13709210160392135
1.0,3,0.0005561348613506804,0.0001154962010803718,0.1387184038758278,0.032804777934808446,0.010228177066892385,0.0025125877809438115,-0.029039281329931988,0.03321289980696761,-0.04297068052191877,0.04475331052298639,2.5509783438583193e-09,1.5015623545580196e-09,3.6803671599649366e-09,2.2225886165237143e-09,0.0,1.0,0.0,0.09996431987142533
