base_sample,alpha,file,true_cbs_abs_loss_to_gt,cbs_reported_loss,neural_loss_to_gt_mse_only,forward_rrmse_neural_vs_true_cbs,forward_mae_neural_vs_true_cbs,grad_cos_raw,grad_cos_smooth,grad_nn_rms,grad_cbs_raw_eff_rms,grad_cbs_smooth_eff_rms,grad_rms_ratio_nn_over_cbs_raw,grad_rms_ratio_nn_over_cbs_smooth,nn_descent_success,nn_best_true_cbs_abs_loss,nn_best_true_cbs_rel_reduction,nn_best_factor,cbs_descent_success,cbs_best_true_cbs_abs_loss,cbs_best_true_cbs_rel_reduction,cbs_best_factor
test_1,0.0,self_consistent_cbs/sparse_64_local_alpha_train100_test20/test/test_000001.npz,0.00684650894254446,0.00684650894254446,0.0002791645238175988,0.16089670360088348,0.012384121306240559,0.014670759016096156,0.016368213727161005,2.678131838818976e-09,29.27274427642155,27.353831963594338,9.148892271696381e-11,9.790700777804533e-11,0,0.00684650894254446,0.0,0.0,1,0.005792364943772554,0.15396810366630034,1.0
test_1,0.25,self_consistent_cbs/sparse_64_local_alpha_train100_test20/test/test_000002.npz,0.005241627339273691,0.005241627339273691,0.0002826118725351989,0.15971316397190094,0.012273382395505905,0.01817086676177446,0.020214696846274707,2.8287054729921022e-09,22.84151529564639,21.40546224560854,1.238405349373321e-10,1.3214876840944785e-10,0,0.005241627339273691,0.0,0.0,1,0.0042853751219809055,0.18243422418558564,1.0
test_1,0.5,self_consistent_cbs/sparse_64_local_alpha_train100_test20/test/test_000003.npz,0.003595256945118308,0.003595256945118308,0.00028801854932680726,0.1601296067237854,0.012315301224589348,0.01795351663158952,0.02013073775974523,3.0595576387283843e-09,15.523683464434262,14.556557924684471,1.970896691972639e-10,2.101841420587555e-10,0,0.003595256945118308,0.0,0.0,1,0.002873759251087904,0.2006804255838748,1.0
test_1,0.75,self_consistent_cbs/sparse_64_local_alpha_train100_test20/test/test_000004.npz,0.0019375348929315805,0.0019375348929315805,0.00029378756880760193,0.16204610466957092,0.012486636638641357,0.013015756865755682,0.01516787968070887,3.4122775678288704e-09,7.698997495044354,7.178334504246908,4.4321063489438273e-10,4.753578376446611e-10,0,0.0019375348929315805,0.0,0.0,1,0.0015663800295442343,0.1915603504999135,0.5
test_1,1.0,self_consistent_cbs/sparse_64_local_alpha_train100_test20/test/test_000005.npz,0.0005409209989011288,0.0005409209989011288,0.0002966444008052349,0.16473640501499176,0.012721375562250614,-0.06735431127481427,-0.09254089196523806,3.990428084437578e-09,0.9458812427609131,0.6603339602699702,4.218741110448496e-09,6.0430453748072205e-09,0,0.0005409209989011288,0.0,0.0,1,0.0004859315522480756,0.10165892369330144,0.1
test_2,0.0,self_consistent_cbs/sparse_64_local_alpha_train100_test20/test/test_000006.npz,0.0038709125947207212,0.003870912827551365,8.773001900408417e-05,0.08479142934083939,0.006264418363571167,-0.04209595937044595,-0.04519469261352947,9.62875023784678e-10,15.6396851999766,14.299520624269046,6.156613841473732e-11,6.733617504285376e-11,0,0.0038709125947207212,0.0,0.0,1,0.0035149971954524517,0.09194612135177958,1.0
test_2,0.25,self_consistent_cbs/sparse_64_local_alpha_train100_test20/test/test_000007.npz,0.0029734389390796423,0.0029734389390796423,8.976423123385757e-05,0.08414295315742493,0.006218475289642811,-0.029643974834420155,-0.031802398289329535,1.0944381070434628e-09,11.895151086879023,10.884284262102659,9.200707910727469e-11,1.0055214295110995e-10,0,0.0029734389390796423,0.0,0.0,1,0.00268633384257555,0.09655658054185644,0.5
test_2,0.5,self_consistent_cbs/sparse_64_local_alpha_train100_test20/test/test_000008.npz,0.002066444605588913,0.0020664448384195566,9.121741459239274e-05,0.08540551364421844,0.006299153435975313,-0.019199352402298364,-0.02064389751206273,1.2779658242482926e-09,7.938442545874011,7.245077433108786,1.6098445215963837e-10,1.7639091314720855e-10,0,0.002066444605588913,0.0,0.0,1,0.0018503579776734114,0.10456928157014406,0.5
test_2,0.75,self_consistent_cbs/sparse_64_local_alpha_train100_test20/test/test_000009.npz,0.0011709320824593306,0.0011709320824593306,9.250257426174358e-05,0.08818741142749786,0.006491886451840401,-0.01645264615925985,-0.01810377209579142,1.553733625557533e-09,3.8968017246257265,3.500877012318737,3.987202160527589e-10,4.438126846759601e-10,0,0.0011709320824593306,0.0,0.0,1,0.0010398454032838345,0.1119507109141818,0.25
test_2,1.0,self_consistent_cbs/sparse_64_local_alpha_train100_test20/test/test_000010.npz,0.0004229033656883985,0.00042290339479222894,9.463982132729143e-05,0.09244488924741745,0.006788949947804213,-0.033410768262025256,-0.05226465646700493,1.98315260505252e-09,0.6945029332486247,0.46180557730642047,2.855499250055107e-09,4.294345288378023e-09,0,0.0004229033656883985,0.0,0.0,1,0.000376290874555707,0.11022019403084177,0.1
test_3,0.0,self_consistent_cbs/sparse_64_local_alpha_train100_test20/test/test_000011.npz,0.009044582024216652,0.009044582024216652,0.0002502868592273444,0.14362338185310364,0.0101123983040452,0.0008756121356717275,0.0024272442740428377,9.662521670474898e-10,34.14293625069165,30.174528850171864,2.8300207104417276e-11,3.2022112817247395e-11,0,0.009044582024216652,0.0,0.0,1,0.008467158302664757,0.06384194647602454,1.0
