base_sample,alpha,epsilon_mps,direction_index,neural_loss_center,cbs_loss_center_half_mse,nn_inner_product,nn_finite_difference,cbs_inner_product,cbs_finite_difference
test_1,0.75,0.25,0,0.00029378756880760193,3.5006933103431948e-06,2.139119985570694e-05,2.159608993679285e-05,-12588.399362237178,-3.1091576602193527e-07
test_1,0.75,0.25,1,0.00029378756880760193,3.5006933103431948e-06,-3.874678361055549e-06,-3.879540599882603e-06,1382.519410039789,3.659988578874618e-08
test_1,0.75,0.25,2,0.00029378756880760193,3.5006933103431948e-06,2.3543180854815486e-05,2.3523345589637756e-05,-14451.819060894863,-3.4771665013977326e-07
test_1,0.75,0.25,3,0.00029378756880760193,3.5006933103431948e-06,6.597151605609212e-07,6.424961611628532e-07,-22347.388811017736,-5.447204785014037e-07
test_1,0.75,0.25,4,0.00029378756880760193,3.5006933103431948e-06,-1.7962070053511284e-06,-1.7597340047359467e-06,4187.403737825678,9.781933840713464e-08
test_1,0.75,0.5,0,0.00029378756880760193,3.5006933103431948e-06,2.139119985570694e-05,2.218596637248993e-05,-12588.399362237178,-3.108739292656537e-07
test_1,0.75,0.5,1,0.00029378756880760193,3.5006933103431948e-06,-3.874678361055549e-06,-3.831315552815795e-06,1382.519410039789,3.6539859138429165e-08
test_1,0.75,0.5,2,0.00029378756880760193,3.5006933103431948e-06,2.3543180854815486e-05,2.34074832405895e-05,-14451.819060894863,-3.4740946830424946e-07
test_1,0.75,0.5,3,0.00029378756880760193,3.5006933103431948e-06,6.597151605609212e-07,6.640329957008362e-07,-22347.388811017736,-5.44677050129394e-07
test_1,0.75,0.5,4,0.00029378756880760193,3.5006933103431948e-06,-1.7962070053511284e-06,-1.6615667846053839e-06,4187.403737825678,9.732139005791396e-08
