sample,init_iter,final_iter,init_image_mse_256,final_image_mse_256,init_image_mae_256,final_image_mae_256,init_image_rmse_256,final_image_rmse_256,init_image_mse_480,final_image_mse_480,init_image_mae_480,final_image_mae_480,init_image_rmse_480,final_image_rmse_480,init_dobs_abs_loss,final_dobs_abs_loss,init_dobs_rel_l1,final_dobs_rel_l1,init_dobs_rel_l2,final_dobs_rel_l2,init_image_psnr_256,final_image_psnr_256,init_image_ssim_256,final_image_ssim_256,init_image_psnr_480,final_image_psnr_480,init_image_ssim_480,final_image_ssim_480,image_mse_256_improve_ratio,image_mse_256_improved,image_mae_256_improve_ratio,image_mae_256_improved,image_rmse_256_improve_ratio,image_rmse_256_improved,image_mse_480_improve_ratio,image_mse_480_improved,image_mae_480_improve_ratio,image_mae_480_improved,image_rmse_480_improve_ratio,image_rmse_480_improved,dobs_abs_loss_improve_ratio,dobs_abs_loss_improved,dobs_rel_l1_improve_ratio,dobs_rel_l1_improved,dobs_rel_l2_improve_ratio,dobs_rel_l2_improved,image_psnr_256_delta,image_psnr_256_improved,image_ssim_256_delta,image_ssim_256_improved,image_psnr_480_delta,image_psnr_480_improved,image_ssim_480_delta,image_ssim_480_improved,init_mse_256,final_mse_256,mse256_improve_ratio,init_mse_480,final_mse_480,mse480_improve_ratio,dobs_loss_improve_ratio,best_mse_256,best_mse_256_iter,best_dobs_abs_loss,best_dobs_iter,runtime_seconds,initial_forward_evals,adjoint_step_forward_evals,candidate_selection_forward_evals,post_update_eval_forward_evals,total_forward_like_evals_excluding_adjoint_solve
test_1,0,8,53.711753845214844,38.60188674926758,2.5710866451263428,2.715087890625,7.328830319035558,6.213041666468009,48.023372650146484,33.81686019897461,2.4542646408081055,2.5806727409362793,6.929889800721688,5.815226581911887,0.0068743061274290085,0.005483129061758518,0.15223252773284912,0.12142471224069595,0.09443479776382446,0.06080976873636246,28.934383885246298,30.36899189855032,0.8751691579818726,0.8842848539352417,29.420550651011723,30.943744400077037,0.9154216647148132,0.9201668500900269,0.28131397718812556,True,-0.056007931810296896,False,0.152246484636068,True,0.2958249632875013,True,-0.05150548886468105,False,0.16084862109835543,True,0.20237345263359943,True,0.2023734083034805,True,0.3560660881722862,True,1.4346080133040218,True,0.00911569595336914,True,1.5231937490653138,True,0.004745185375213623,True,53.711753845214844,38.60188674926758,0.28131397718812556,48.023372650146484,33.81686019897461,0.2958249632875013,0.20237345263359943,38.60188674926758,8,0.004703570622950792,7,30.87779034399955,1,8,0,8,17
test_2,0,8,28.386564254760742,21.927621841430664,1.5632814168930054,1.8367030620574951,5.32790430232758,4.682693865867239,25.109024047851562,18.717660903930664,1.4762279987335205,1.725675106048584,5.010890544389446,4.326391210227141,0.0038528013974428177,0.005106886848807335,0.08478619903326035,0.11238407343626022,0.059301093220710754,0.05474042892456055,31.703948908922413,32.8251618925519,0.9252148270606995,0.9295622110366821,32.23677889481016,33.51256146939515,0.949297308921814,0.9519274830818176,0.22753519430399594,True,-0.17490238303205546,False,0.12110023000569843,True,0.2545444670306697,True,-0.16897600338761976,False,0.13660233208018954,True,-0.3254996356343152,False,-0.32549960627257446,False,0.07690691770384597,True,1.1212129836294835,True,0.004347383975982666,True,1.2757825745849942,True,0.002630174160003662,True,28.386564254760742,21.927621841430664,0.22753519430399594,25.109024047851562,18.717660903930664,0.2545444670306697,-0.3254996356343152,21.927621841430664,8,0.0038528013974428177,0,30.884596184999282,1,8,0,8,17
test_3,0,8,175.8738250732422,125.71429443359375,3.6124625205993652,4.231162071228027,13.261742912349122,11.212238600457704,163.69229125976562,115.56465911865234,3.4948673248291016,4.098910808563232,12.794228826301554,10.750100423654299,0.009049007669091225,0.006743742153048515,0.20379170775413513,0.1518750786781311,0.14658522605895996,0.08418256044387817,23.78306512967424,25.241230598537435,0.8917426466941833,0.8717843294143677,24.09479494392757,25.6068267951799,0.9139794707298279,0.9026265740394592,0.2852017952003907,True,-0.1712680884854796,False,0.15454260615946627,True,0.294012819850744,True,-0.17283731472223932,False,0.15976956723213417,True,0.2547534050238538,True,0.2547533932950019,True,0.4257091065204367,True,1.4581654688631929,True,-0.019958317279815674,False,1.5120318512523276,True,-0.011352896690368652,False,175.8738250732422,125.71429443359375,0.2852017952003907,163.69229125976562,115.56465911865234,0.294012819850744,0.2547534050238538,125.71429443359375,8,0.006742619443684816,3,30.769475158000205,1,8,0,8,17
test_4,0,8,279.04229736328125,202.7470245361328,5.5956830978393555,6.1806488037109375,16.70455917895714,14.238926382846875,262.35888671875,190.0651092529297,5.4424920082092285,6.035823345184326,16.197496310194055,13.786410310625811,0.01158791035413742,0.008487265557050705,0.2617424726486206,0.19170650839805603,0.17118194699287415,0.10569952428340912,21.778376832853226,23.165532327771228,0.8476586937904358,0.8256425261497498,22.04611942742197,23.446053224983636,0.875629186630249,0.8607276082038879,0.27341830807757583,True,-0.10453874811054767,False,0.1476023862524965,True,0.27555299677467876,True,-0.10901832029886903,False,0.14885547453717607,True,0.26757583568223464,True,0.26757584866372697,True,0.3825311246857611,True,1.3871554949180016,True,-0.022016167640686035,False,1.3999337975616655,True,-0.014901578426361084,False,279.04229736328125,202.7470245361328,0.27341830807757583,262.35888671875,190.0651092529297,0.27555299677467876,0.26757583568223464,202.7470245361328,8,0.008487265557050705,8,84.56793625699993,1,8,0,8,17
test_5,0,8,125.69015502929688,84.64105224609375,2.820659637451172,3.593374252319336,11.211162073099151,9.200057187109966,115.09745788574219,75.54364013671875,2.718700408935547,3.4600272178649902,10.728348329810242,8.691584443398035,0.008617967367172241,0.005678450223058462,0.19188851118087769,0.12643693387508392,0.14412975311279297,0.06660361588001251,25.242064602083293,26.9592666829668,0.9049167633056641,0.888694703578949,25.624419904746496,27.4530981425435,0.9267612099647522,0.91713947057724,0.326589642391918,True,-0.27394819446068897,False,0.17938415954351353,True,0.3436550074658327,True,-0.27267690345455253,False,0.18984878415557951,True,0.34109170045943354,True,0.3410916938313039,True,0.5378912789198509,True,1.7172020808835065,True,-0.016222059726715088,False,1.8286782377970034,True,-0.009621739387512207,False,125.69015502929688,84.64105224609375,0.326589642391918,115.09745788574219,75.54364013671875,0.3436550074658327,0.34109170045943354,84.64105224609375,8,0.004937462043017149,4,33.17610367100042,1,8,0,8,17
test_6,0,8,71.6466293334961,47.508094787597656,1.914595365524292,2.5224244594573975,8.464433196233289,6.892611608642812,64.8623275756836,41.184959411621094,1.8384569883346558,2.395914077758789,8.053715141205554,6.417550888899993,0.008668097667396069,0.004155250266194344,0.1931835114955902,0.09260692447423935,0.137950599193573,0.04998210445046425,27.68311958589543,29.467401078115202,0.9161964654922485,0.9122931361198425,28.115151928973077,30.08769079795148,0.9426035284996033,0.9399094581604004,0.33691095827466794,True,-0.3174713074510866,False,0.1856972051347465,True,0.3650403716461542,True,-0.30322008780243254,False,0.20315645930089873,True,0.5206271980131917,True,0.5206271810786817,True,0.6376811355421024,True,1.7842814922197725,True,-0.003903329372406006,False,1.972538868978404,True,-0.002694070339202881,False,71.6466293334961,47.508094787597656,0.33691095827466794,64.8623275756836,41.184959411621094,0.3650403716461542,0.5206271980131917,47.508094787597656,8,0.004155250266194344,8,45.654213644000265,1,8,0,8,17
test_7,0,8,83.28988647460938,54.825626373291016,2.312087059020996,2.8854598999023438,9.12632929904512,7.404432886676131,76.40373229980469,48.35395050048828,2.2255923748016357,2.759920597076416,8.740922851724793,6.953700489702464,0.009230276569724083,0.004681164398789406,0.20786698162555695,0.10542041063308716,0.1365744024515152,0.05718725174665451,27.029154519763257,28.84524119994325,0.903594434261322,0.900626540184021,27.403931478601816,29.390757605389062,0.9359890818595886,0.9334558248519897,0.34174929641662133,True,-0.2479892954912702,False,0.18867349138376596,True,0.36712580596521127,True,-0.24008359676473287,False,0.20446609498097368,True,0.49284678915940816,True,0.4928467724446973,True,0.58127401093673,True,1.8160866801799926,True,-0.0029678940773010254,False,1.9868261267872462,True,-0.002533257007598877,False,83.28988647460938,54.825626373291016,0.34174929641662133,76.40373229980469,48.35395050048828,0.36712580596521127,0.49284678915940816,54.825626373291016,8,0.004681164398789406,8,31.030491792999783,1,8,0,8,17
test_8,0,8,63.59306716918945,43.658599853515625,1.8261064291000366,2.29880952835083,7.97452614073021,6.607465463664235,57.50374221801758,38.09325408935547,1.7472949028015137,2.1958413124084473,7.583122194585656,6.171973273545136,0.006997683551162481,0.00564353633671999,0.15615957975387573,0.12594057619571686,0.10956566035747528,0.06310625374317169,28.200979500838592,29.83437918490164,0.9187357425689697,0.9171913266181946,28.638116135653398,30.426596485661634,0.9465979933738708,0.9451240301132202,0.31346919095186637,True,-0.2588584606667738,False,0.17142845266798815,True,0.3375517380254933,True,-0.25670904716055826,False,0.18609075323194624,True,0.19351363981356684,True,0.19351360707805282,True,0.42403255237360316,True,1.633399684063047,True,-0.0015444159507751465,False,1.7884803500082356,True,-0.0014739632606506348,False,63.59306716918945,43.658599853515625,0.31346919095186637,57.50374221801758,38.09325408935547,0.3375517380254933,0.19351363981356684,43.658599853515625,8,0.004529592581093311,7,61.01770011999997,1,8,0,8,17
test_9,0,8,80.4238510131836,52.23006057739258,2.1732399463653564,2.7159738540649414,8.967934601299431,7.2270367770886965,73.78215026855469,45.979610443115234,2.089841604232788,2.589757204055786,8.589653675705133,6.780826678445279,0.009782316163182259,0.004683096893131733,0.2200077474117279,0.10532450675964355,0.14400047063827515,0.05647680535912514,27.181228571032285,29.055871925714314,0.913264811038971,0.9106082320213318,27.55556414184129,29.609424346719877,0.9415132403373718,0.9391510486602783,0.35056503861235094,True,-0.24973492163487637,False,0.19412472342943812,True,0.3768193218040201,True,-0.2392121961828228,False,0.21058206367221843,True,0.521269113006305,True,0.5212691007509933,True,0.6078012446112001,True,1.8746433546820285,True,-0.00265657901763916,False,2.0538602048785854,True,-0.002362191677093506,False,80.4238510131836,52.23006057739258,0.35056503861235094,73.78215026855469,45.979610443115234,0.3768193218040201,0.521269113006305,52.23006057739258,8,0.004683096893131733,8,44.229225433000465,1,8,0,8,17
test_10,0,8,197.83352661132812,142.7628936767578,4.3225884437561035,4.79875373840332,14.065330661286572,11.948342716743516,186.7687225341797,134.83377075195312,4.2055134773254395,4.693767547607422,13.666335373251298,11.61179446734884,0.009442828595638275,0.007522694766521454,0.21164211630821228,0.16860616207122803,0.14015063643455505,0.0943673700094223,23.27207829246413,24.688923799761618,0.8712047934532166,0.8570318818092346,23.52203573815669,24.937090419717446,0.9010358452796936,0.8927205204963684,0.27836855500616975,True,-0.11015744405066329,False,0.15051106835118383,True,0.2780709268529794,True,-0.1160985627354068,False,0.15033590569741162,True,0.20334307770877094,True,0.20334305377152856,True,0.32667184102431884,True,1.416845507297488,True,-0.014172911643981934,False,1.4150546815607576,True,-0.008315324783325195,False,197.83352661132812,142.7628936767578,0.27836855500616975,186.7687225341797,134.83377075195312,0.2780709268529794,0.20334307770877094,142.7628936767578,8,0.007522694766521454,8,30.89187697899979,1,8,0,8,17
